"zip","name","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est","city","stabbr","cty_name"
"00501","HOLTSVILLE, NY","J",39,"J",255,"J",1015,4,"HOLTSVILLE","NY","SUFFOLK"
"01001","AGAWAM, MA","G",7935,"G",113562,"G",467164,469,"AGAWAM","MA","HAMPDEN"
"01002","AMHERST, MA","H",7572,"H",78480,"H",344066,503,"AMHERST","MA","HAMPSHIRE"
"01003","AMHERST, MA","G",264,"H",2622,"H",11727,18,"AMHERST","MA","HAMPSHIRE"
"01004","AMHERST, MA","J",154,"J",1184,"J",5662,6,"AMHERST","MA","HAMPSHIRE"
"01005","BARRE, MA","H",903,"H",9704,"H",40249,107,"BARRE","MA","WORCESTER"
"01007","BELCHERTOWN, MA","G",1790,"G",16985,"G",75784,235,"BELCHERTOWN","MA","HAMPSHIRE"
"01008","BLANDFORD, MA","J",126,"H",945,"H",4603,21,"BLANDFORD","MA","HAMPDEN"
"01009","BONDSVILLE, MA","H",106,"G",1158,"G",4690,13,"BONDSVILLE","MA","HAMPDEN"
"01010","BRIMFIELD, MA","G",500,"H",5969,"H",27910,90,"BRIMFIELD","MA","HAMPDEN"
"01011","CHESTER, MA","J",28,"G",285,"G",1201,9,"CHESTER","MA","HAMPDEN"
"01012","CHESTERFIELD, MA","H",72,"G",862,"G",3251,14,"CHESTERFIELD","MA","HAMPSHIRE"
"01013","CHICOPEE, MA","G",4769,"G",51401,"H",223455,305,"CHICOPEE","MA","HAMPDEN"
"01020","CHICOPEE, MA","G",8727,"G",102437,"G",429772,534,"CHICOPEE","MA","HAMPDEN"
"01021","CHICOPEE, MA","G",215,"G",1596,"G",6384,7,"CHICOPEE","MA","HAMPDEN"
"01022","CHICOPEE, MA","G",2876,"G",37533,"G",168147,70,"CHICOPEE","MA","HAMPDEN"
"01026","CUMMINGTON, MA","G",151,"G",1503,"H",6025,22,"CUMMINGTON","MA","HAMPSHIRE"
"01027","EASTHAMPTON, MA","H",3857,"H",45977,"H",196018,433,"EASTHAMPTON","MA","HAMPSHIRE"
"01028","EAST LONGMEADOW, MA","G",8210,"G",90058,"G",398816,522,"EAST LONGMEADOW","MA","HAMPDEN"
"01029","EAST OTIS, MA","H",134,"H",1418,"H",7005,15,"EAST OTIS","MA","BERKSHIRE"
"01030","FEEDING HILLS, MA","G",1353,"G",11469,"G",54005,227,"FEEDING HILLS","MA","HAMPDEN"
"01031","GILBERTVILLE, MA","J",115,"G",1466,"G",5491,19,"GILBERTVILLE","MA","WORCESTER"
"01032","GOSHEN, MA","J",120,"G",1186,"G",5486,25,"GOSHEN","MA","HAMPSHIRE"
"01033","GRANBY, MA","H",694,"G",6967,"G",33199,127,"GRANBY","MA","HAMPSHIRE"
"01034","GRANVILLE, MA","H",118,"H",1252,"H",6606,36,"GRANVILLE","MA","HAMPDEN"
"01035","HADLEY, MA","G",5337,"G",46869,"G",195950,311,"HADLEY","MA","HAMPSHIRE"
"01036","HAMPDEN, MA","G",978,"G",9454,"G",45800,114,"HAMPDEN","MA","HAMPDEN"
"01037","HARDWICK, MA","J",279,"J",3239,"J",16264,14,"HARDWICK","MA","WORCESTER"
"01038","HATFIELD, MA","H",1428,"H",19539,"H",80621,69,"HATFIELD","MA","HAMPSHIRE"
"01039","HAYDENVILLE, MA","J",263,"J",2977,"J",13030,35,"HAYDENVILLE","MA","HAMPSHIRE"
"01040","HOLYOKE, MA","G",16594,"G",216011,"G",886349,842,"HOLYOKE","MA","HAMPDEN"
"01041","HOLYOKE, MA","H",811,"H",11019,"H",49414,20,"HOLYOKE","MA","HAMPDEN"
"01050","HUNTINGTON, MA","G",201,"H",1628,"H",7565,35,"HUNTINGTON","MA","HAMPSHIRE"
"01053","LEEDS, MA","H",1675,"H",33138,"H",132176,35,"LEEDS","MA","HAMPSHIRE"
"01054","LEVERETT, MA","H",75,"G",652,"G",3122,28,"LEVERETT","MA","FRANKLIN"
"01056","LUDLOW, MA","G",4237,"G",47352,"G",225477,409,"LUDLOW","MA","HAMPDEN"
"01057","MONSON, MA","G",935,"G",9696,"G",46204,143,"MONSON","MA","HAMPDEN"
"01059","NORTH AMHERST, MA","G",50,"G",511,"G",2065,5,"NORTH AMHERST","MA","HAMPSHIRE"
"01060","NORTHAMPTON, MA","G",11583,"G",150026,"G",631586,687,"NORTHAMPTON","MA","HAMPSHIRE"
"01061","NORTHAMPTON, MA","G",129,"H",1360,"H",6686,21,"NORTHAMPTON","MA","HAMPSHIRE"
"01062","FLORENCE, MA","G",1747,"G",21307,"G",91232,210,"FLORENCE","MA","HAMPSHIRE"
"01066","NORTH HATFIELD, MA","J",58,"J",990,"J",4395,6,"NORTH HATFIELD","MA","HAMPSHIRE"
"01068","OAKHAM, MA","G",79,"H",870,"G",4990,35,"OAKHAM","MA","WORCESTER"
"01069","PALMER, MA","H",3358,"H",42868,"H",180168,245,"PALMER","MA","HAMPDEN"
"01070","PLAINFIELD, MA","J",14,"J",85,"H",585,9,"PLAINFIELD","MA","HAMPSHIRE"
"01071","RUSSELL, MA","G",122,"G",669,"G",3472,17,"RUSSELL","MA","HAMPDEN"
"01072","SHUTESBURY, MA","H",76,"H",431,"H",2136,17,"SHUTESBURY","MA","FRANKLIN"
"01073","SOUTHAMPTON, MA","G",1017,"H",10717,"H",47449,127,"SOUTHAMPTON","MA","HAMPSHIRE"
"01074","SOUTH BARRE, MA","J",49,"J",561,"J",3391,9,"SOUTH BARRE","MA","WORCESTER"
"01075","SOUTH HADLEY, MA","H",4366,"G",41440,"G",179995,300,"SOUTH HADLEY","MA","HAMPSHIRE"
"01077","SOUTHWICK, MA","G",2317,"G",22072,"G",100058,220,"SOUTHWICK","MA","HAMPDEN"
"01079","THORNDIKE, MA","G",42,"G",416,"G",2282,8,"THORNDIKE","MA","HAMPDEN"
"01080","THREE RIVERS, MA","G",301,"G",3422,"G",12818,39,"THREE RIVERS","MA","HAMPDEN"
"01081","WALES, MA","G",76,"G",522,"G",2201,21,"WALES","MA","HAMPDEN"
"01082","WARE, MA","G",2080,"H",25514,"H",98408,161,"WARE","MA","HAMPSHIRE"
"01083","WARREN, MA","H",331,"H",5296,"H",23233,38,"WARREN","MA","WORCESTER"
"01084","WEST CHESTERFIELD, MA","J",39,"J",408,"H",1915,3,"WEST CHESTERFIELD","MA","HAMPSHIRE"
"01085","WESTFIELD, MA","G",13869,"G",169022,"G",726743,842,"WESTFIELD","MA","HAMPDEN"
"01086","WESTFIELD, MA","H",705,"H",6652,"H",26642,15,"WESTFIELD","MA","HAMPDEN"
"01088","WEST HATFIELD, MA","G",359,"G",4081,"G",18963,30,"WEST HATFIELD","MA","HAMPSHIRE"
"01089","WEST SPRINGFIELD, MA","G",14980,"G",172895,"G",732854,921,"WEST SPRINGFIELD","MA","HAMPDEN"
"01090","WEST SPRINGFIELD, MA","G",111,"G",1447,"G",6778,17,"WEST SPRINGFIELD","MA","HAMPDEN"
"01092","WEST WARREN, MA","J",83,"J",663,"J",3010,16,"WEST WARREN","MA","WORCESTER"
"01093","WHATELY, MA","H",308,"H",4701,"H",19729,30,"WHATELY","MA","FRANKLIN"
"01095","WILBRAHAM, MA","G",4099,"G",40018,"G",176855,316,"WILBRAHAM","MA","HAMPDEN"
"01096","WILLIAMSBURG, MA","H",245,"G",2065,"G",9620,50,"WILLIAMSBURG","MA","HAMPSHIRE"
"01098","WORTHINGTON, MA","H",101,"J",1294,"H",5370,18,"WORTHINGTON","MA","HAMPSHIRE"
"01101","SPRINGFIELD, MA","J",234,"H",1321,"H",5840,14,"SPRINGFIELD","MA","HAMPDEN"
"01102","SPRINGFIELD, MA","J",2766,"J",44753,"J",186488,12,"SPRINGFIELD","MA","HAMPDEN"
"01103","SPRINGFIELD, MA","G",6318,"H",80691,"H",351776,384,"SPRINGFIELD","MA","HAMPDEN"
"01104","SPRINGFIELD, MA","H",15959,"H",272053,"H",1166673,519,"SPRINGFIELD","MA","HAMPDEN"
"01105","SPRINGFIELD, MA","G",4930,"G",56986,"G",245094,252,"SPRINGFIELD","MA","HAMPDEN"
"01106","LONGMEADOW, MA","H",3680,"H",35151,"H",154289,274,"LONGMEADOW","MA","HAMPDEN"
"01107","SPRINGFIELD, MA","G",2813,"G",46834,"G",215558,137,"SPRINGFIELD","MA","HAMPDEN"
"01108","SPRINGFIELD, MA","G",2093,"G",17614,"G",76850,236,"SPRINGFIELD","MA","HAMPDEN"
"01109","SPRINGFIELD, MA","H",6659,"H",52366,"H",225605,308,"SPRINGFIELD","MA","HAMPDEN"
"01111","SPRINGFIELD, MA","J",4324,"J",306492,"J",554528,8,"SPRINGFIELD","MA","HAMPDEN"
"01115","SPRINGFIELD, MA","G",975,"G",21557,"G",78972,44,"SPRINGFIELD","MA","HAMPDEN"
"01116","LONGMEADOW, MA","J",86,"J",3620,"J",14623,6,"LONGMEADOW","MA","HAMPDEN"
"01118","SPRINGFIELD, MA","G",1326,"G",12015,"G",49820,143,"SPRINGFIELD","MA","HAMPDEN"
"01119","SPRINGFIELD, MA","H",3491,"H",27070,"H",115281,167,"SPRINGFIELD","MA","HAMPDEN"
"01128","SPRINGFIELD, MA","G",894,"G",6125,"G",26171,47,"SPRINGFIELD","MA","HAMPDEN"
"01129","SPRINGFIELD, MA","G",1760,"G",12262,"G",50943,138,"SPRINGFIELD","MA","HAMPDEN"
"01138","SPRINGFIELD, MA","G",5,"G",55,"H",347,3,"SPRINGFIELD","MA","HAMPDEN"
"01144","SPRINGFIELD, MA","H",1096,"H",32872,"H",116002,44,"SPRINGFIELD","MA","HAMPDEN"
"01151","INDIAN ORCHARD, MA","G",1830,"H",30551,"G",116837,132,"INDIAN ORCHARD","MA","HAMPDEN"
"01199","SPRINGFIELD, MA","J",8176,"J",124206,"J",517044,7,"SPRINGFIELD","MA","HAMPDEN"
"01201","PITTSFIELD, MA","G",24281,"G",469611,"G",1877202,1279,"PITTSFIELD","MA","BERKSHIRE"
"01202","PITTSFIELD, MA","G",215,"H",4137,"H",15784,21,"PITTSFIELD","MA","BERKSHIRE"
"01220","ADAMS, MA","G",1442,"G",15699,"G",69912,151,"ADAMS","MA","BERKSHIRE"
"01222","ASHLEY FALLS, MA","J",47,"J",460,"J",2389,17,"ASHLEY FALLS","MA","BERKSHIRE"
"01223","BECKET, MA","H",169,"H",1992,"H",12659,42,"BECKET","MA","BERKSHIRE"
"01224","BERKSHIRE, MA","H",28,"G",311,"G",1013,3,"BERKSHIRE","MA","BERKSHIRE"
"01225","CHESHIRE, MA","H",423,"H",5313,"H",23402,56,"CHESHIRE","MA","BERKSHIRE"
"01226","DALTON, MA","H",1236,"H",22114,"H",76974,124,"DALTON","MA","BERKSHIRE"
"01227","DALTON, MA","H",26,"H",209,"H",1272,7,"DALTON","MA","BERKSHIRE"
"01229","GLENDALE, MA","J",33,"J",935,"J",6018,5,"GLENDALE","MA","BERKSHIRE"
"01230","GREAT BARRINGTON, MA","G",4607,"G",52751,"G",233181,418,"GREAT BARRINGTON","MA","BERKSHIRE"
"01235","HINSDALE, MA","H",171,"H",1696,"G",9029,48,"HINSDALE","MA","BERKSHIRE"
"01236","HOUSATONIC, MA","H",328,"J",3776,"H",16491,41,"HOUSATONIC","MA","BERKSHIRE"
"01237","LANESBOROUGH, MA","H",1269,"H",9298,"G",38366,100,"LANESBOROUGH","MA","BERKSHIRE"
"01238","LEE, MA","G",2535,"G",24657,"G",112958,242,"LEE","MA","BERKSHIRE"
"01240","LENOX, MA","G",3244,"G",33906,"G",152743,239,"LENOX","MA","BERKSHIRE"
"01242","LENOX DALE, MA","H",104,"H",1115,"H",5516,14,"LENOX DALE","MA","BERKSHIRE"
"01243","MIDDLEFIELD, MA","J",23,"J",229,"J",778,7,"MIDDLEFIELD","MA","HAMPSHIRE"
"01244","MILL RIVER, MA","J",88,"J",834,"J",3823,5,"MILL RIVER","MA","BERKSHIRE"
"01245","MONTEREY, MA","J",106,"J",738,"J",3501,16,"MONTEREY","MA","BERKSHIRE"
"01247","NORTH ADAMS, MA","G",3847,"G",36608,"G",157901,320,"NORTH ADAMS","MA","BERKSHIRE"
"01252","NORTH EGREMONT, MA","J",3,"J",45,"J",309,3,"NORTH EGREMONT","MA","BERKSHIRE"
"01253","OTIS, MA","H",135,"G",1256,"H",5564,27,"OTIS","MA","BERKSHIRE"
"01254","RICHMOND, MA","H",40,"G",418,"G",2416,19,"RICHMOND","MA","BERKSHIRE"
